"programNumber";"platformId";"platformType";"platformModel";"platformName";"platformHexId";"satellite";"bestMsgDate";"duration";"nbMessage";"message120";"bestLevel";"frequency";"locationDate";"latitude";"longitude";"altitude";"locationClass";"gpsSpeed";"gpsHeading";"latitude2";"longitude2";"altitude2";"index";"nopc";"errorRadius";"semiMajor";"semiMinor";"orientation";"hdop";"bestDate";"compression";"type";"alarm";"concatenated";"date";"level";"doppler";"rawData";"formatOrder";"formatName";"order";"name";"valueType";"value";"valueStr";"order";"name";"valueType";"value";"valueStr";"order";"name";"valueType";"value";"valueStr";"order";"name";"valueType";"value";"valueStr"
"9660";"81308";"POL_BEA";"ST20";"";"42C21C7";"NP";"2014-02-27T04:59:58.000Z";"122";"3";"0";"-133";"4.0163995634E8";"2014-02-27T04:59:57.000Z";"77.53583";"17.58075";"88.0";"A";"";"";"81.6301";"4.36748";"0.0";"8";"3";"0.0";"0.0";"0.0";"123.0";"1116";"2014-02-27T04:58:57.000Z";"1";"L";"N";"N";"2014-02-27T04:58:57.000Z";"-133.0";"-8235.027";"2800006ED8EE02";"1";"FORMAT TEMPL. TELONICS-1-7-16-8 #1";"1";"LOW VOLTAGE FLAG";"I";"0";"";"2";"TEMPERATURE";"I";"40";"";"3";"ACTIVITY";"I";"0";"";"4";"ERROR DETECTION BYTE";"I";"110";"";
"9660";"81308";"POL_BEA";"ST20";"";"42C21C7";"NP";"2014-02-27T04:59:58.000Z";"122";"3";"0";"-133";"4.0163995634E8";"2014-02-27T04:59:57.000Z";"77.53583";"17.58075";"88.0";"A";"";"";"81.6301";"4.36748";"0.0";"8";"3";"0.0";"0.0";"0.0";"123.0";"1116";"2014-02-27T04:59:58.000Z";"1";"L";"N";"N";"2014-02-27T04:59:58.000Z";"-134.0";"-12613.527";"280008CCE39E07";"1";"FORMAT TEMPL. TELONICS-1-7-16-8 #1";"1";"LOW VOLTAGE FLAG";"I";"0";"";"2";"TEMPERATURE";"I";"40";"";"3";"ACTIVITY";"I";"8";"";"4";"ERROR DETECTION BYTE";"I";"204";"";
"9660";"81308";"POL_BEA";"ST20";"";"42C21C7";"NP";"2014-02-27T04:59:58.000Z";"122";"3";"0";"-133";"4.0163995634E8";"2014-02-27T04:59:57.000Z";"77.53583";"17.58075";"88.0";"A";"";"";"81.6301";"4.36748";"0.0";"8";"3";"0.0";"0.0";"0.0";"123.0";"1116";"2014-02-27T05:00:59.000Z";"1";"L";"N";"N";"2014-02-27T05:00:59.000Z";"-137.0";"-15760.272";"2800006ED63E19";"1";"FORMAT TEMPL. TELONICS-1-7-16-8 #1";"1";"LOW VOLTAGE FLAG";"I";"0";"";"2";"TEMPERATURE";"I";"40";"";"3";"ACTIVITY";"I";"0";"";"4";"ERROR DETECTION BYTE";"I";"110";"";
"9660";"81308";"POL_BEA";"ST20";"";"42C21C7";"NK";"2014-02-27T06:24:21.000Z";"183";"3";"0";"-131";"4.0163995475E8";"2014-02-27T06:23:50.000Z";"77.53055";"17.57574";"68.0";"A";"";"";"76.08841";"24.36789";"0.0";"60";"1";"0.0";"0.0";"0.0";"100.0";"0";"2014-02-27T06:22:19.000Z";"1";"L";"N";"N";"2014-02-27T06:22:19.000Z";"-132.0";"-4962.68";"2800006E522A2B";"1";"FORMAT TEMPL. TELONICS-1-7-16-8 #1";"1";"LOW VOLTAGE FLAG";"I";"0";"";"2";"TEMPERATURE";"I";"40";"";"3";"ACTIVITY";"I";"0";"";"4";"ERROR DETECTION BYTE";"I";"110";"";
"9660";"81308";"POL_BEA";"ST20";"";"42C21C7";"NK";"2014-02-27T06:24:21.000Z";"183";"3";"0";"-131";"4.0163995475E8";"2014-02-27T06:23:50.000Z";"77.53055";"17.57574";"68.0";"A";"";"";"76.08841";"24.36789";"0.0";"60";"1";"0.0";"0.0";"0.0";"100.0";"0";"2014-02-27T06:24:21.000Z";"1";"L";"N";"N";"2014-02-27T06:24:21.000Z";"-131.0";"-13739.078";"2800006E5BC6DF";"1";"FORMAT TEMPL. TELONICS-1-7-16-8 #1";"1";"LOW VOLTAGE FLAG";"I";"0";"";"2";"TEMPERATURE";"I";"40";"";"3";"ACTIVITY";"I";"0";"";"4";"ERROR DETECTION BYTE";"I";"110";"";
"9660";"81308";"POL_BEA";"ST20";"";"42C21C7";"NK";"2014-02-27T06:24:21.000Z";"183";"3";"0";"-131";"4.0163995475E8";"2014-02-27T06:23:50.000Z";"77.53055";"17.57574";"68.0";"A";"";"";"76.08841";"24.36789";"0.0";"60";"1";"0.0";"0.0";"0.0";"100.0";"0";"2014-02-27T06:25:22.000Z";"1";"L";"N";"N";"2014-02-27T06:25:22.000Z";"-133.0";"-16578.994";"2800006EE5BECA";"1";"FORMAT TEMPL. TELONICS-1-7-16-8 #1";"1";"LOW VOLTAGE FLAG";"I";"0";"";"2";"TEMPERATURE";"I";"40";"";"3";"ACTIVITY";"I";"0";"";"4";"ERROR DETECTION BYTE";"I";"110";"";
"9660";"81308";"POL_BEA";"ST20";"";"42C21C7";"NN";"2014-02-27T06:34:31.000Z";"61";"2";"0";"-133";"4.0163995475E8";"2014-02-27T06:35:01.000Z";"77.52978";"17.59422";"40.0";"B";"";"";"79.70903";"9.78381";"40.0";"0";"2";"0.0";"0.0";"0.0";"39.0";"3576";"2014-02-27T06:34:31.000Z";"1";"L";"N";"N";"2014-02-27T06:34:31.000Z";"-134.0";"-10073.413";"2800006ECC49FB";"1";"FORMAT TEMPL. TELONICS-1-7-16-8 #1";"1";"LOW VOLTAGE FLAG";"I";"0";"";"2";"TEMPERATURE";"I";"40";"";"3";"ACTIVITY";"I";"0";"";"4";"ERROR DETECTION BYTE";"I";"110";"";
"9660";"81308";"POL_BEA";"ST20";"";"42C21C7";"NN";"2014-02-27T06:34:31.000Z";"61";"2";"0";"-133";"4.0163995475E8";"2014-02-27T06:35:01.000Z";"77.52978";"17.59422";"40.0";"B";"";"";"79.70903";"9.78381";"40.0";"0";"2";"0.0";"0.0";"0.0";"39.0";"3576";"2014-02-27T06:35:32.000Z";"1";"L";"N";"N";"2014-02-27T06:35:32.000Z";"-133.0";"-14184.539";"2800006EAFA199";"1";"FORMAT TEMPL. TELONICS-1-7-16-8 #1";"1";"LOW VOLTAGE FLAG";"I";"0";"";"2";"TEMPERATURE";"I";"40";"";"3";"ACTIVITY";"I";"0";"";"4";"ERROR DETECTION BYTE";"I";"110";"";
"9660";"81308";"POL_BEA";"ST20";"";"42C21C7";"NP";"2014-02-27T06:40:37.000Z";"183";"4";"0";"-133";"4.0163995475E8";"2014-02-27T06:40:06.000Z";"77.52523";"17.59554";"40.0";"3";"";"";"84.34201";"18.55522";"0.0";"68";"4";"199.0";"684.0";"58.0";"86.0";"446";"2014-02-27T06:38:35.000Z";"1";"L";"N";"N";"2014-02-27T06:38:35.000Z";"-136.0";"-5163.222";"2801006E0E9487";"1";"FORMAT TEMPL. TELONICS-1-7-16-8 #1";"1";"LOW VOLTAGE FLAG";"I";"0";"";"2";"TEMPERATURE";"I";"40";"";"3";"ACTIVITY";"I";"256";"";"4";"ERROR DETECTION BYTE";"I";"110";"";
"9660";"81308";"POL_BEA";"ST20";"";"42C21C7";"NP";"2014-02-27T06:40:37.000Z";"183";"4";"0";"-133";"4.0163995475E8";"2014-02-27T06:40:06.000Z";"77.52523";"17.59554";"40.0";"3";"";"";"84.34201";"18.55522";"0.0";"68";"4";"199.0";"684.0";"58.0";"86.0";"446";"2014-02-27T06:39:36.000Z";"1";"L";"N";"N";"2014-02-27T06:39:36.000Z";"-133.0";"-8642.487";"2800006E5E78B5";"1";"FORMAT TEMPL. TELONICS-1-7-16-8 #1";"1";"LOW VOLTAGE FLAG";"I";"0";"";"2";"TEMPERATURE";"I";"40";"";"3";"ACTIVITY";"I";"0";"";"4";"ERROR DETECTION BYTE";"I";"110";"";
